vcomplex	max_depth	vmin_bucket	min_split	ganancia_promedio
-0.5	4	1000	1000	9368667
-0.5	4	1000	800	9368667
-0.5	4	1000	600	9368667
-0.5	4	1000	400	9368667
-0.5	4	1000	200	9368667
-0.5	4	1000	100	9368667
-0.5	4	1000	50	9368667
-0.5	4	1000	20	9368667
-0.5	4	1000	10	9368667
-0.5	4	800	1000	9489333
-0.5	4	800	800	9489333
-0.5	4	800	600	9489333
-0.5	4	800	400	9489333
-0.5	4	800	200	9489333
-0.5	4	800	100	9489333
-0.5	4	800	50	9489333
-0.5	4	800	20	9489333
-0.5	4	800	10	9489333
-0.5	4	600	1000	9325333
-0.5	4	600	800	9325333
-0.5	4	600	600	9325333
-0.5	4	600	400	9325333
-0.5	4	600	200	9325333
-0.5	4	600	100	9325333
-0.5	4	600	50	9325333
-0.5	4	600	20	9325333
-0.5	4	600	10	9325333
-0.5	4	400	1000	9440000
-0.5	4	400	800	9440000
-0.5	4	400	600	9440000
-0.5	4	400	400	9440000
-0.5	4	400	200	9440000
-0.5	4	400	100	9440000
-0.5	4	400	50	9440000
-0.5	4	400	20	9440000
-0.5	4	400	10	9440000
-0.5	4	200	1000	9484000
-0.5	4	200	800	9484000
-0.5	4	200	600	9398667
-0.5	4	200	400	9342667
-0.5	4	200	200	9342667
-0.5	4	200	100	9342667
-0.5	4	200	50	9342667
-0.5	4	200	20	9342667
-0.5	4	200	10	9342667
-0.5	4	100	1000	9457333
-0.5	4	100	800	9412667
-0.5	4	100	600	9371333
-0.5	4	100	400	9319333
-0.5	4	100	200	9319333
-0.5	4	100	100	9319333
-0.5	4	100	50	9319333
-0.5	4	100	20	9319333
-0.5	4	100	10	9319333
-0.5	4	50	1000	9520667
-0.5	4	50	800	9476000
-0.5	4	50	600	9434667
-0.5	4	50	400	9407333
-0.5	4	50	200	9388667
-0.5	4	50	100	9388667
-0.5	4	50	50	9388667
-0.5	4	50	20	9388667
-0.5	4	50	10	9388667
-0.5	4	20	1000	9570000
-0.5	4	20	800	9525333
-0.5	4	20	600	9525333
-0.5	4	20	400	9498000
-0.5	4	20	200	9498000
-0.5	4	20	100	9498000
-0.5	4	20	50	9498000
-0.5	4	20	20	9498000
-0.5	4	20	10	9498000
-0.5	4	10	1000	9302667
-0.5	4	10	800	9300000
-0.5	4	10	600	9300000
-0.5	4	10	400	9272667
-0.5	4	10	200	9272667
-0.5	4	10	100	9272667
-0.5	4	10	50	9272667
-0.5	4	10	20	9272667
-0.5	4	10	10	9272667
-0.5	6	1000	1000	9753333
-0.5	6	1000	800	9753333
-0.5	6	1000	600	9753333
-0.5	6	1000	400	9753333
-0.5	6	1000	200	9753333
-0.5	6	1000	100	9753333
-0.5	6	1000	50	9753333
-0.5	6	1000	20	9753333
-0.5	6	1000	10	9753333
-0.5	6	800	1000	9367333
-0.5	6	800	800	9367333
-0.5	6	800	600	9367333
-0.5	6	800	400	9367333
-0.5	6	800	200	9367333
-0.5	6	800	100	9367333
-0.5	6	800	50	9367333
-0.5	6	800	20	9367333
-0.5	6	800	10	9367333
-0.5	6	600	1000	9758000
-0.5	6	600	800	9758000
-0.5	6	600	600	9758000
-0.5	6	600	400	9758000
-0.5	6	600	200	9758000
-0.5	6	600	100	9758000
-0.5	6	600	50	9758000
-0.5	6	600	20	9758000
-0.5	6	600	10	9758000
-0.5	6	400	1000	10042000
-0.5	6	400	800	9986667
-0.5	6	400	600	9986667
-0.5	6	400	400	9986667
-0.5	6	400	200	9986667
-0.5	6	400	100	9986667
-0.5	6	400	50	9986667
-0.5	6	400	20	9986667
-0.5	6	400	10	9986667
-0.5	6	200	1000	10106667
-0.5	6	200	800	9797333
-0.5	6	200	600	9768000
-0.5	6	200	400	9593333
-0.5	6	200	200	9593333
-0.5	6	200	100	9593333
-0.5	6	200	50	9593333
-0.5	6	200	20	9593333
-0.5	6	200	10	9593333
-0.5	6	100	1000	10139333
-0.5	6	100	800	9930000
-0.5	6	100	600	9832667
-0.5	6	100	400	9645333
-0.5	6	100	200	9404000
-0.5	6	100	100	9404000
-0.5	6	100	50	9404000
-0.5	6	100	20	9404000
-0.5	6	100	10	9404000
-0.5	6	50	1000	10450667
-0.5	6	50	800	10330667
-0.5	6	50	600	10260667
-0.5	6	50	400	10154000
-0.5	6	50	200	10118667
-0.5	6	50	100	10154000
-0.5	6	50	50	10154000
-0.5	6	50	20	10154000
-0.5	6	50	10	10154000
-0.5	6	20	1000	10558000
-0.5	6	20	800	10645333
-0.5	6	20	600	10594000
-0.5	6	20	400	10516667
-0.5	6	20	200	10550000
-0.5	6	20	100	10574667
-0.5	6	20	50	10658667
-0.5	6	20	20	10678000
-0.5	6	20	10	10678000
-0.5	6	10	1000	10170000
-0.5	6	10	800	10172667
-0.5	6	10	600	10103333
-0.5	6	10	400	10054000
-0.5	6	10	200	10122667
-0.5	6	10	100	10108000
-0.5	6	10	50	10174000
-0.5	6	10	20	10155333
-0.5	6	10	10	10155333
-0.5	8	1000	1000	9753333
-0.5	8	1000	800	9753333
-0.5	8	1000	600	9753333
-0.5	8	1000	400	9753333
-0.5	8	1000	200	9753333
-0.5	8	1000	100	9753333
-0.5	8	1000	50	9753333
-0.5	8	1000	20	9753333
-0.5	8	1000	10	9753333
-0.5	8	800	1000	9367333
-0.5	8	800	800	9367333
-0.5	8	800	600	9367333
-0.5	8	800	400	9367333
-0.5	8	800	200	9367333
-0.5	8	800	100	9367333
-0.5	8	800	50	9367333
-0.5	8	800	20	9367333
-0.5	8	800	10	9367333
-0.5	8	600	1000	9862000
-0.5	8	600	800	9862000
-0.5	8	600	600	9862000
-0.5	8	600	400	9862000
-0.5	8	600	200	9862000
-0.5	8	600	100	9862000
-0.5	8	600	50	9862000
-0.5	8	600	20	9862000
-0.5	8	600	10	9862000
-0.5	8	400	1000	9802000
-0.5	8	400	800	9884667
-0.5	8	400	600	9884667
-0.5	8	400	400	9884667
-0.5	8	400	200	9884667
-0.5	8	400	100	9884667
-0.5	8	400	50	9884667
-0.5	8	400	20	9884667
-0.5	8	400	10	9884667
-0.5	8	200	1000	9866667
-0.5	8	200	800	9841333
-0.5	8	200	600	9820667
-0.5	8	200	400	9300667
-0.5	8	200	200	9300667
-0.5	8	200	100	9300667
-0.5	8	200	50	9300667
-0.5	8	200	20	9300667
-0.5	8	200	10	9300667
-0.5	8	100	1000	9722000
-0.5	8	100	800	9638000
-0.5	8	100	600	9397333
-0.5	8	100	400	9160000
-0.5	8	100	200	8690000
-0.5	8	100	100	8690000
-0.5	8	100	50	8690000
-0.5	8	100	20	8690000
-0.5	8	100	10	8690000
-0.5	8	50	1000	9437333
-0.5	8	50	800	9178000
-0.5	8	50	600	8828667
-0.5	8	50	400	8754667
-0.5	8	50	200	8833333
