fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220517 183516	-0.310097693948774	6304	631	13	5	9293000	1
20220517 183541	-0.563276836310979	4986	469	6	5	9773000	2
20220517 183616	-0.698752488127502	3180	1314	14	5	10162000	3
20220517 183658	-0.233030497467553	3563	578	13	5	10156000	4
20220517 183725	-0.516687020056997	4498	1139	5	5	9790000	5
20220517 183815	-0.920114324585302	5912	119	20	5	9152000	6
20220517 183851	-0.12594945103483	5068	1419	10	5	9268000	7
20220517 183919	-0.962426661426434	2371	788	5	5	10436000	8
20220517 183950	-0.616139081412985	7740	1918	9	5	8301000	9
20220517 184021	-0.372474813958979	6715	293	7	5	8677000	10
20220517 184040	0.0555336908015307	7198	1615	16	5	0	11
20220517 184129	-0.734632402799616	2981	244	16	5	10520000	12
20220517 184153	-0.671308187086834	4178	1498	5	5	9608000	13
20220517 184228	-0.88668522076332	7126	637	16	5	8301000	14
20220517 184308	-0.299936064489884	1925	96	9	5	9561000	15
20220517 184342	-0.0681029210041743	3425	1611	17	5	9742000	16
20220517 184422	-0.155858068259517	2474	1236	20	5	9658000	17
20220517 184456	-0.82035158624891	9	4	7	5	9858000	18
20220517 184550	-0.690648941078883	7	3	12	5	8470000	19
20220517 184619	-0.760772033600527	3337	1582	6	5	9642000	20
20220517 184718	-0.999705805197987	4	1	14	5	9592000	21
20220517 184822	-0.0900121184051628	14	4	15	5	7484000	22
20220517 184902	-0.879360212743043	1931	1	9	5	9909000	23
20220517 184945	-0.371526399193828	4707	1191	20	5	9616000	24
20220517 185025	-0.27253091722604	3622	1811	11	5	9178000	25
20220517 185108	-0.994860882952927	3072	731	20	5	10380000	26
20220517 185128	-0.0639412875486861	2946	46	3	5	8885000	27
20220517 185147	-0.997783517779907	815	406	3	5	9098000	28
20220517 185225	-0.876661845585477	2682	817	16	5	10401000	29
20220517 185304	-0.959690395202706	3110	5	9	5	9996000	30
20220517 185345	-0.95069886745424	2078	1036	18	5	10234000	31
20220517 185430	-0.796791518929981	2963	570	20	5	10430000	32
20220517 185515	-0.603965831029181	3762	338	20	5	10291000	33
20220517 185556	-0.720926037869074	4367	663	18	5	10152000	34
20220517 185649	-0.303906071357263	4666	4	14	5	9718000	35
20220517 185722	-0.631142349313386	2819	649	7	5	10574000	36
20220517 185805	-0.502600033539233	2905	593	14	5	10430000	37
20220517 185844	-0.7790369904237	2584	654	8	5	10633000	38
20220517 185909	-0.728206694448383	2726	590	3	5	9098000	39
20220517 185952	-0.716759954885892	5927	1037	10	5	9602000	40
20220517 190037	-0.99924986849993	2422	999	9	5	10540000	41
20220517 190128	-0.617589427144523	3043	725	10	5	10554000	42
20220517 190212	-0.0612444190947486	2421	1012	8	5	10547000	43
20220517 190308	-0.636703187878833	2974	688	17	5	10574000	44
20220517 190352	-0.625218558274438	2381	922	8	5	10408000	45
20220517 190432	-0.962960519002045	2400	714	7	5	10834000	46
20220517 190452	0.0999190936190477	2585	592	10	5	0	47
20220517 190513	-0.0995261696038078	2427	1208	3	5	8691000	48
20220517 190600	-0.821691611122594	2505	643	12	5	10633000	49
20220517 190643	-0.935460283247671	2706	797	9	5	10390000	50
20220517 190722	-0.433650243925254	3143	777	10	5	10685000	51
20220517 190806	-0.08405183185403	3044	871	11	5	10353000	52
20220517 190852	-0.972588886013541	2406	631	14	5	10810000	53
20220517 190940	-0.441490556547322	3113	333	20	5	10640000	54
20220517 191025	-0.454468709409757	3526	920	16	5	10220000	55
20220517 191108	-0.464309123084713	2770	4	8	5	9979000	56
20220517 191203	-0.397541255616905	2610	490	16	5	10515000	57
20220517 191255	-0.312157484392947	2906	590	20	5	10430000	58
20220517 191338	-0.973253793991317	2321	755	8	5	10312000	59
20220517 191428	-0.999858115042274	3179	1234	14	5	10074000	60
20220517 191511	-0.830460265172097	2989	473	7	5	10526000	61
20220517 191609	-0.946411417816211	2492	372	17	5	10365000	62
20220517 191648	-0.117080999411908	2413	873	8	5	10549000	63
20220517 191732	-0.769268135321476	2623	644	14	5	10633000	64
20220517 191803	-0.999903918933131	2596	880	6	5	10354000	65
20220517 191848	-0.999978425484183	2205	649	12	5	10509000	66
20220517 191935	-0.896179976663079	2513	1066	7	5	10196000	67
20220517 192031	-0.522394455640212	1824	722	20	5	10504000	68
20220517 192127	-0.420261531783846	1235	617	20	5	10099000	69
