fecha	num.trees	max.depth	min.node.size	mtry	xval_folds	ganancia	iteracion
20220524 230843	1660	19	425	35	5	11018000	1
20220524 231826	963	13	237	10	5	11641000	2
20220524 232040	645	7	31	4	5	10851000	3
20220524 234226	1997	5	316	29	5	11118000	4
20220525 002845	1129	14	197	42	5	10574000	5
20220525 005235	831	18	398	26	5	10784000	6
20220525 012552	1430	22	260	20	5	10972000	7
20220525 013138	188	11	172	35	5	10685000	8
20220525 021440	2256	17	139	17	5	10923000	9
20220525 021830	2486	2	70	5	5	422000	10
20220525 024825	1818	28	473	14	5	11229000	11
20220525 030042	401	30	109	25	5	10017000	12
20220525 031329	1218	3	452	46	5	10210000	13
20220525 045316	2100	23	45	39	5	9457000	14
20220525 051018	267	26	367	50	5	10006000	15
20220525 052635	1454	9	312	14	5	11734000	16
20220525 054913	2128	16	320	9	5	11462000	17
20220525 055111	432	16	28	2	5	11318000	18
20220525 055502	815	28	297	2	5	11244000	19
20220525 064205	735	30	16	50	5	7488000	20
20220525 064330	527	7	307	2	5	8775000	21
20220525 073200	1879	13	378	26	5	11110000	22
20220525 073531	796	17	144	2	5	10986000	23
20220525 080050	1363	8	1	28	5	11063000	24
20220525 080224	1559	1	72	2	5	0	25
20220525 080726	652	10	1	8	5	11671000	26
20220525 085521	2191	7	438	41	5	10873000	27
20220525 085656	103	25	478	12	5	11377000	28
20220525 085815	104	8	55	16	5	11170000	29
20220525 093029	2499	10	200	15	5	11823000	30
20220525 093852	2113	14	1	2	5	10876000	31
20220525 100030	1571	11	267	15	5	11721000	32
20220525 101711	1599	9	108	13	5	11602000	33
20220525 110103	2500	9	319	24	5	11340000	34
20220525 111625	818	5	221	50	5	10776000	35
20220525 114055	2066	10	500	14	5	11868000	36
20220525 115203	2500	25	392	2	5	11200000	37
20220525 120957	1179	26	172	13	5	10791000	38
20220525 123527	2201	20	500	10	5	11731000	39
20220525 123605	100	22	500	2	5	10925000	40
20220525 125004	897	6	487	33	5	11199000	41
20220525 125145	107	15	500	13	5	11227000	42
20220525 133420	2500	23	500	15	5	11065000	43
20220525 140357	2485	10	366	14	5	11752000	44
20220525 140457	100	30	500	6	5	11109000	45
20220525 142317	1366	10	245	16	5	11638000	46
20220525 145831	2351	13	500	14	5	11950000	47
20220525 150501	101	20	500	50	5	9857000	48
20220525 151117	157	26	500	31	5	10301000	49
20220525 151232	100	20	1	8	5	7082000	50
20220525 153011	1804	12	500	9	5	11841000	51
20220525 154115	2473	18	500	2	5	10965000	52
20220525 155932	2500	30	306	5	5	11817000	53
20220525 162257	1566	30	344	12	5	11329000	54
20220525 170938	1814	21	500	21	5	11090000	55
20220525 172150	2500	30	112	2	5	11363000	56
20220525 175742	2499	12	499	14	5	11819000	57
20220525 180929	2500	30	500	2	5	11089000	58
20220525 183810	2499	29	256	9	5	11563000	59
20220525 190039	1595	13	500	13	5	11557000	60
20220525 191007	2498	12	218	2	5	10893000	61
20220525 193803	2500	14	500	10	5	11744000	62
20220525 193842	100	14	111	2	5	10970000	63
20220525 201258	2269	13	232	14	5	11525000	64
20220525 203530	2271	11	500	9	5	11914000	65
20220525 221323	2500	16	500	37	5	10880000	66
20220525 221759	371	16	235	11	5	11124000	67
20220525 222808	1198	24	459	7	5	11728000	68
20220525 224921	2068	10	273	12	5	11780000	69
20220525 225551	858	12	12	7	5	11726000	70
20220525 232633	1910	6	192	35	5	11050000	71
20220525 233201	848	16	500	5	5	11659000	72
20220525 234823	1966	22	412	7	5	11955000	73
20220525 235659	896	8	1	14	5	11401000	74
20220526 001307	1745	22	478	8	5	11713000	75
20220526 003841	2498	21	392	9	5	11589000	76
20220526 005848	1905	23	364	9	5	11273000	77
20220526 011319	2193	22	440	5	5	11599000	78
20220526 012559	1355	20	418	8	5	11815000	79
20220526 013557	1178	26	419	7	5	11766000	80
20220526 015119	1252	22	414	11	5	11570000	81
20220526 023108	2273	19	423	16	5	11019000	82
20220526 031706	2040	25	403	20	5	11048000	83
20220526 033640	2304	13	500	8	5	11679000	84
20220526 042255	2492	15	500	18	5	11095000	85
20220526 043059	928	11	197	9	5	11465000	86
20220526 043211	101	12	420	10	5	11436000	87
20220526 043509	675	25	474	2	5	10991000	88
20220526 055708	2396	16	22	32	5	10355000	89
20220526 060306	1415	9	1	4	5	11176000	90
20220526 060936	783	17	414	7	5	11782000	91
20220526 063638	2212	9	271	16	5	11691000	92
20220526 065500	1099	7	314	30	5	11075000	93
20220526 071619	2483	27	400	7	5	12057000	94
20220526 073305	1952	27	394	7	5	11976000	95
20220526 090727	2500	10	2	50	5	10845000	96
20220526 110406	2500	13	500	50	5	10830000	97
20220526 133336	2500	22	396	50	5	10384000	98
20220526 140458	2490	10	1	15	5	11386000	99
20220526 144022	1911	5	500	50	5	10576000	100
20220526 145926	2500	28	390	6	5	11704000	101
20220526 152036	1945	11	434	12	5	11790000	102
20220526 152135	100	30	203	6	5	11096000	103
20220526 152244	100	27	407	8	5	11151000	104
20220526 154105	2442	27	285	6	5	11514000	105
20220526 175644	2500	17	248	50	5	10197000	106
20220526 181959	2497	26	500	8	5	11652000	107
20220526 182314	127	7	1	45	5	10495000	108
20220526 194404	2495	11	284	39	5	11175000	109
20220526 194751	101	9	500	50	5	10756000	110
20220526 194843	165	16	398	2	5	10835000	111
20220526 195619	900	18	500	7	5	11960000	112
20220529 213555	1841	17	500	9	5	11832000	113
20220529 223319	2477	10	126	29	5	11260000	114
20220529 224034	178	22	407	34	5	10968000	115
20220529 231119	2469	27	412	11	5	11421000	116
