Feature	Gain	Cover	Frequency
mpayroll	0.302369230625429	0.138491017353738	0.0326666666666667
Master_Fvencimiento	0.242166514373013	0.00912522335281152	0.0273333333333333
mpasivos_margen	0.103611881873924	0.0326072181168235	0.0206666666666667
ctarjeta_debito_trx	0.0954337578337116	0.0049193037476299	0.01
mcomisiones	0.0608065337109201	0.00136805155464045	0.0146666666666667
mcuentas_saldo	0.037261855664042	0.0151143941860335	0.0273333333333333
Master_fechaalta	0.031588887825897	0.0143823172105557	0.0293333333333333
Visa_mconsumospesos	0.0249116463906798	0.00338781055479717	0.0146666666666667
catm_trx	0.0197995604128868	0.0164041353179653	0.0106666666666667
Visa_mpagospesos	0.0163488492398169	0.00103363966736281	0.012
Master_mpagospesos	0.0056296993307646	0.0133380280978698	0.012
mcuenta_corriente	0.00545745687207748	0.0097333678105104	0.0226666666666667
ctrx_quarter	0.00454206929576821	0.169936963327075	0.042
Visa_msaldototal	0.00443635665292252	0.00727611286623193	0.00666666666666667
mextraccion_autoservicio	0.00429602041744989	0.00418365550801055	0.0113333333333333
ctransferencias_emitidas	0.00326072152526149	0.00358731874346455	0.006
mautoservicio	0.00283279476384822	0.00231823303116256	0.01
numero_de_cliente	0.00268320714647973	0.00189518301136135	0.0306666666666667
Master_mfinanciacion_limite	0.00196058008854633	0.00251783774048241	0.016
Visa_mpagado	0.00155509272718539	0.00153963310119151	0.006
Visa_Fvencimiento	0.00154374027337135	0.00346962789454578	0.0266666666666667
mtarjeta_visa_debitos_automaticos	0.0014356303008848	0.00815512644832859	0.012
mtransferencias_recibidas	0.00140938162841173	0.0124769673571336	0.0133333333333333
Visa_msaldopesos	0.00138428136726525	0.0233921018630062	0.0186666666666667
cseguro_accidentes_personales	0.001324329979925	0.00339070617437144	0.00333333333333333
Visa_mfinanciacion_limite	0.00123694685829756	0.00481464318679536	0.0153333333333333
cliente_edad	0.00115524852755729	0.00832316890428887	0.0266666666666667
mrentabilidad	0.00107510458129337	0.00425205647706504	0.0166666666666667
mrentabilidad_annual	0.00105128771796971	0.0209341712741604	0.0293333333333333
Visa_cconsumos	0.000989542359977297	0.000644468396580582	0.00666666666666667
mcaja_ahorro_dolares	0.000928347638383562	0.0112740304653283	0.0133333333333333
ccomisiones_otras	0.000890871248778549	0.00730362125218752	0.0146666666666667
chomebanking_trx	0.000847815867167431	0.00655880355058298	0.0166666666666667
cextraccion_autoservicio	0.000829274606800573	0.0303170082484297	0.0106666666666667
mcaja_ahorro	0.000730744914007891	0.00420727089431629	0.012
Visa_fechaalta	0.000693120853990671	0.0050871209887344	0.018
mprestamos_personales	0.000692838824161751	0.0161315288218229	0.014
mpagomiscuentas	0.000592369774095373	0.008809568645665	0.00666666666666667
cliente_antiguedad	0.000537195125654713	0.00512811009248577	0.0173333333333333
ctarjeta_visa_trx	0.00051683831041825	0.0244151886056984	0.012
mtarjeta_visa_consumo	0.000493606347868914	0.003015015621385	0.00666666666666667
mactivos_margen	0.000414787830194863	0.0284773889593436	0.0226666666666667
cpagomiscuentas	0.000401770203161556	0.0247763688872626	0.0113333333333333
Visa_mpagominimo	0.000378755142950277	0.00220005957898142	0.0106666666666667
cproductos	0.000349755425251361	0.00996839559928885	0.0133333333333333
mcuenta_debitos_automaticos	0.000304523531943986	0.00141425277362551	0.00533333333333333
mtransferencias_emitidas	0.000291570555633231	0.00217882503543675	0.0126666666666667
ctarjeta_visa_trx2	0.000289331142460918	0.0164505295782553	0.00933333333333333
catm_trx_other	0.00027986389866229	0.0103706936788078	0.00666666666666667
mttarjeta_master_debitos_automaticos	0.000271748043135825	0.00242916743440802	0.00533333333333333
cpayroll_trx	0.000258942363807909	0.0436305201005707	0.00866666666666667
mtarjeta_visa_descuentos	0.000255450334666007	0.00746140034543455	0.00666666666666667
mtarjeta_master_consumo	0.000249476338939104	0.00469901144512941	0.00533333333333333
ctarjeta_visa_descuentos	0.00024271823736378	0.00583695776426768	0.002
ccuenta_debitos_automaticos	0.000225341424648811	0.00293535390954168	0.00266666666666667
Visa_mpagosdolares	0.000196786810800141	0.00281007010262816	0.00666666666666667
mcomisiones_otras	0.000195923328899302	0.00541487295099122	0.00666666666666667
mcheques_depositados	0.000194050941837739	0.00238940092558801	0.00266666666666667
ccajas_depositos	0.000190034186188874	0.000171999802711786	0.000666666666666667
matm	0.000172398011512177	0.0186429961992419	0.00666666666666667
ccallcenter_trx	0.000169589149556069	0.00106397932579102	0.006
Master_cconsumos	0.000157841948019987	0.01123432830361	0.008
ctarjeta_debito	0.000142929666261473	0.00176195233739399	0.00666666666666667
mcomisiones_mantenimiento	0.00013754000388415	0.00357113544739945	0.008
Master_mpagominimo	0.000136975683060613	0.00201599469471016	0.00733333333333333
Visa_mconsumosdolares	0.000128329775313765	0.00102376238725945	0.004
Master_msaldopesos	0.000126869411897154	0.00567174658078002	0.008
tpaquete9	0.000125640332311613	0.000514744639653174	0.00266666666666667
Master_fultimo_cierre	0.000122926710345066	0.003320825221979	0.00533333333333333
ctarjeta_visa_debitos_automaticos	0.000120360277794912	0.00261989224370011	0.006
mcaja_ahorro_adicional	0.000120354171402738	0.00890618581879322	0.00933333333333333
ccajas_consultas	0.000120021298813137	0.00345180374738859	0.00533333333333333
tpaquete7	0.000114504007672443	0.00921714318751926	0.00733333333333333
cprestamos_personales	0.00011007101966525	0.00711212427767563	0.008
Visa_msaldodolares	0.000106035283940343	0.00284571839694253	0.00466666666666667
ccomisiones_mantenimiento	8.90952844739382e-05	0.00254576438259873	0.00333333333333333
ctransferencias_recibidas	8.54021530488665e-05	0.00109933805814797	0.00533333333333333
mdescubierto_preacordado	8.35119080782531e-05	0.00229783499993935	0.002
mplazo_fijo_dolares	7.55790024099149e-05	0.00411953362121583	0.004
matm_other	7.4911321504394e-05	0.000663579485770781	0.002
Master_mpagosdolares	7.44304806985372e-05	0.0138485580023648	0.00533333333333333
